IN	0.01851851851851849	10
NN	0.015625	13
JJ	0.11111111111111116	2
JJ	0.11111111111111116	2
VB	0.11111111111111116	4
NN	0.02857142857142858	6
NNS	0.07547169811320753	5
DT	0.02777777777777779	5
NNS	0.07999999999999996	5
JJ	0.045454545454545414	2
NN	0.09090909090909094	5
DT	0.02777777777777779	5
NN	0.07692307692307687	2
NN	0.07407407407407407	5
VB	0.04166666666666663	3
RB	0.02941176470588236	5
NN	0.022727272727272707	9
NN	0.021739130434782594	9
PRP	0.0444444444444444	9
RB	0.01754385964912286	10
PRP	0.02631578947368418	8
EX	0.04166666666666663	5
VB	0.04166666666666663	3
VB	0.04166666666666663	3
DT	0.016129032258064502	11
DT	0.032258064516129004	9
DT	0.038461538461538436	4
NN	0.045454545454545414	3
DT	0.022727272727272707	7
PRP	0.05714285714285716	8
DT	0.038461538461538436	6
DT	0.038461538461538436	6
JJ	0.16666666666666663	1
DT	0.02777777777777779	5
NN	0.02857142857142858	6
VB	0.02564102564102566	7
VB	0.021739130434782594	8
VB	0.02941176470588236	6
DT	0.07407407407407407	4
VBD	0.09999999999999998	2
VBN	0.020408163265306145	10
EX	0.02941176470588236	6
DT	0.0	3
DT	0.0	6
DT	0.02564102564102566	9
NN	0.020000000000000018	10
CC	0.09999999999999998	11
VB	0.023809523809523836	6
NN	0.05714285714285716	7
DT	0.02777777777777779	5
NN	0.046875	13
DT	0.02777777777777779	5
DT	0.03448275862068961	5
DT	0.03703703703703709	5
DT	0.02777777777777779	5
DT	0.02777777777777779	5
DT	0.03703703703703709	5
DT	0.02777777777777779	5
DT	0.03703703703703709	5
DT	0.02777777777777779	5
NN	0.046875	13
DT	0.02777777777777779	5
DT	0.02777777777777779	5
WRB	0.016129032258064502	12
WRB	0.016129032258064502	12
DT	0.02777777777777779	5
DT	0.02777777777777779	5
NN	0.046875	13
DT	0.02777777777777779	5
DT	0.02777777777777779	5
DT	0.02777777777777779	5
DT	0.02777777777777779	5
NN	0.046875	13
DT	0.02777777777777779	5
DT	0.03703703703703709	5
DT	0.02777777777777779	5
DT	0.03703703703703709	5
DT	0.02777777777777779	5
DT	0.02777777777777779	5
DT	0.02777777777777779	5
DT	0.02777777777777779	5
DT	0.02777777777777779	5
DT	0.03703703703703709	5
DT	0.02777777777777779	5
PRP	0.09090909090909094	4
DT	0.02777777777777779	5
NN	0.0714285714285714	3
DT	0.02777777777777779	5
PRP	0.09090909090909094	4
DT	0.02777777777777779	5
